lower angle,upper angle,holding angle,system x,acceleration,
1.945568399,-0.875414848,0,-0.042477988,-4.96E-05,546
1.947294072,-0.879284382,0,-0.043847288,-4.64E-05,547
1.94892867,-0.882956982,0,-0.045114483,-4.29E-05,548
1.950470285,-0.886427879,0,-0.046279827,-3.95E-05,549
1.951916532,-0.88969183,0,-0.047340469,-3.59E-05,550
1.953266458,-0.892745018,0,-0.048302854,-3.25E-05,551
1.954517202,-0.89558363,0,-0.049152303,-2.87E-05,552
1.955668286,-0.89820528,0,-0.049894013,-2.50E-05,553
1.956717805,-0.900606155,0,-0.050523905,-2.13E-05,554
1.957665281,-0.902784348,0,-0.051045021,-1.76E-05,555
1.958509759,-0.904737949,0,-0.051455146,-1.38E-05,556
1.959250764,-0.906466007,0,-0.051753012,-1.00E-05,557
1.959887342,-0.907967091,0,-0.051934286,-6.10E-06,558
1.960419969,-0.909240723,0,-0.052006106,-2.41E-06,559
1.960848169,-0.910286903,0,-0.05196294,1.45E-06,560
1.961172418,-0.91110611,0,-0.051807637,5.21E-06,561
1.961392717,-0.911699295,0,-0.051535648,9.13E-06,562
1.961510495,-0.912067413,0,-0.051158228,1.27E-05,563
1.961525754,-0.912212372,0,-0.050666552,1.65E-05,564
1.961439923,-0.912136555,0,-0.050065426,2.01E-05,565
1.961253957,-0.911841869,0,-0.049356605,2.37E-05,566
1.960969285,-0.911332607,0,-0.048536274,2.74E-05,567
1.960587815,-0.910611153,0,-0.047614592,3.08E-05,568
1.960110978,-0.909681797,0,-0.046587804,3.43E-05,569
1.959540681,-0.908548355,0,-0.045459612,3.76E-05,570
1.958879308,-0.907217026,0,-0.044228137,4.11E-05,571
1.958129243,-0.905691147,0,-0.042904565,4.41E-05,572
1.957292871,-0.903977394,0,-0.041484887,4.73E-05,573
1.956373052,-0.90208149,0,-0.039974723,5.02E-05,574
1.955372171,-0.900010109,0,-0.038370083,5.34E-05,575
1.954294042,-0.897768974,0,-0.036687159,5.59E-05,576
1.953141526,-0.895366192,0,-0.034920719,5.87E-05,577
1.951917962,-0.892808914,0,-0.033075162,6.12E-05,578
1.950626687,-0.890104294,0,-0.031154893,6.37E-05,579
1.949271993,-0.887261391,0,-0.029166149,6.59E-05,580
1.947857217,-0.884288311,0,-0.027108961,6.81E-05,581
1.946386651,-0.881193638,0,-0.024991743,7.01E-05,582
1.94486411,-0.877986431,0,-0.022815422,7.20E-05,583
1.943294362,-0.874676228,0,-0.020589314,7.36E-05,584
1.941681222,-0.871272087,0,-0.018314316,7.51E-05,585
1.940028981,-0.867784977,0,-0.015987814,7.68E-05,586
1.938343362,-0.864223957,0,-0.013631899,7.77E-05,587
1.936628179,-0.860599518,0,-0.011240809,7.88E-05,588
1.934888677,-0.856922626,0,-0.00882249,7.96E-05,589
1.933129625,-0.853203297,0,-0.00638396,8.02E-05,590
1.93135579,-0.849452972,-0.084945297,-0.003925587,8.08E-05,591
1.929571942,-0.845682144,0,-0.001452117,8.13E-05,592
1.928262071,-0.842833042,0,-9.46E-06,4.74E-05,593
1.926949815,-0.839980125,0,0.001440584,4.76E-05,594
1.925639466,-0.837131977,0,0.002889825,4.75E-05,595
1.92433484,-0.834295273,0,0.004326542,4.71E-05,596
1.923037843,-0.831476688,0,0.005760428,4.70E-05,597
1.92175229,-0.828682423,0,0.007177572,4.64E-05,598
1.920480565,-0.825919628,0,0.008584577,4.60E-05,599
1.919226007,-0.82319355,0,0.009968455,4.52E-05,600
1.917991475,-0.820511818,0,0.011332711,4.46E-05,601
1.916779832,-0.817879677,0,0.012669729,4.36E-05,602
1.915593938,-0.815303802,0,0.013978589,4.27E-05,603
1.914437131,-0.812790394,0,0.015250778,4.15E-05,604
1.913310842,-0.810345173,0,0.016497057,4.06E-05,605
1.912219361,-0.807973385,0,0.017693705,3.89E-05,606
1.911164121,-0.805681705,0,0.018855977,3.78E-05,607
1.910147981,-0.803474903,0,0.019974058,3.63E-05,608
1.909173326,-0.801358223,0,0.021045751,3.48E-05,609
1.90824254,-0.79933691,0,0.022068865,3.32E-05,610
1.907358483,-0.79741621,0,0.023035819,3.14E-05,611
1.906522111,-0.795599461,0,0.023951632,2.97E-05,612
1.905736283,-0.793892384,0,0.024810965,2.78E-05,613
1.905002908,-0.792298317,0,0.025608048,2.58E-05,614
1.904322938,-0.790821075,0,0.02635015,2.40E-05,615
1.903699235,-0.789464474,0,0.027022938,2.17E-05,616
1.903132276,-0.78823185,0,0.02763683,1.98E-05,617
1.902623967,-0.787125587,0,0.028181543,1.76E-05,618
1.902175264,-0.786148548,0,0.028659836,1.54E-05,619
1.901787595,-0.785303116,0,0.02906681,1.31E-05,620
1.901460962,-0.784591198,0,0.029411525,1.11E-05,621
1.901197747,-0.784014702,0,0.029676003,8.51E-06,622
1.900996999,-0.783574581,0,0.029875603,6.42E-06,623
1.90085967,-0.78327179,0,0.030004045,4.13E-06,624
1.900786714,-0.783107281,0,0.030055039,1.64E-06,625
1.900777177,-0.783081055,0,0.030039417,-5.02E-07,626
1.900831536,-0.783192635,0,0.029949524,-2.88E-06,627
1.900949792,-0.783442497,0,0.029787606,-5.19E-06,628
1.901131467,-0.783829212,0,0.029552303,-7.54E-06,629
